Product_ID,Product_Title,Product_Type,Product_Published_At,Product_Variant_Id,Variant_Price,Variant_Inventory_Quantity,Variant_Created_At,Product_Created_At,Variant_Title,Option_Names,Option_Values,Image_Ids,Image_Sources
8387566305458,Full Sleeve Regular Fit Tshirt,,2024-12-30T13:02:59Z,45019576762546,33,33,2024-12-30T13:03:00Z,2024-12-30T13:02:59Z,Wool,Fabric,Wool,40444694429874,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/611nPGxRtZL._SX569.jpg?v=1735563746
8387566305458,Full Sleeve Regular Fit Tshirt,,2024-12-30T13:02:59Z,45019576795314,33,44,2024-12-30T13:03:00Z,2024-12-30T13:02:59Z,Fleece,Fabric,Wool,40444694429874,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/611nPGxRtZL._SX569.jpg?v=1735563746
8387566305458,Full Sleeve Regular Fit Tshirt,,2024-12-30T13:02:59Z,45019576828082,33,44,2024-12-30T13:03:00Z,2024-12-30T13:02:59Z,Acrylic,Fabric,Wool,40444694429874,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/611nPGxRtZL._SX569.jpg?v=1735563746
8387566010546,Crew Pullover,,2024-12-30T13:01:36Z,45019576336562,33,33,2024-12-30T13:01:37Z,2024-12-30T13:01:36Z,Crew,Neckline,Crew,40444693184690,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/71nBWKXWYiL._SY741.jpg?v=1735563657
8387566010546,Crew Pullover,,2024-12-30T13:01:36Z,45019576369330,33,3,2024-12-30T13:01:37Z,2024-12-30T13:01:36Z,V-neck,Neckline,Crew,40444693184690,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/71nBWKXWYiL._SY741.jpg?v=1735563657
8387566010546,Crew Pullover,,2024-12-30T13:01:36Z,45019576402098,33,3,2024-12-30T13:01:37Z,2024-12-30T13:01:36Z,Round,Neckline,Crew,40444693184690,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/71nBWKXWYiL._SY741.jpg?v=1735563657
8387565748402,Hoodie for Men,,2024-12-30T12:59:30Z,45019575812274,45,55,2024-12-30T12:59:31Z,2024-12-30T12:59:30Z,Navy,Color,Navy,40444692627634,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/41xTsjB7xqL.jpg?v=1735563525
8387565748402,Hoodie for Men,,2024-12-30T12:59:30Z,45019575845042,45,5,2024-12-30T12:59:31Z,2024-12-30T12:59:30Z,Purple,Color,Navy,40444692627634,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/41xTsjB7xqL.jpg?v=1735563525
8387565748402,Hoodie for Men,,2024-12-30T12:59:30Z,45019575877810,45,5,2024-12-30T12:59:31Z,2024-12-30T12:59:30Z,Orange,Color,Navy,40444692627634,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/41xTsjB7xqL.jpg?v=1735563525
8387565748402,Hoodie for Men,,2024-12-30T12:59:30Z,45019575910578,45,5,2024-12-30T12:59:31Z,2024-12-30T12:59:30Z,Yellow,Color,Navy,40444692627634,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/41xTsjB7xqL.jpg?v=1735563525
8387565519026,Unisex Sweatshirts,,2024-12-30T12:57:55Z,45019575550130,45,55,2024-12-30T12:57:56Z,2024-12-30T12:57:55Z,Default Title,Title,Default Title,40444692037810,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/61SOAIN5udL._SY741.jpg?v=1735563459
8387565256882,Fleece Jackets for Men,,2024-12-30T12:56:27Z,45019574730930,44,44,2024-12-30T12:56:29Z,2024-12-30T12:56:27Z,Long,Sleeve length type,Long,40444691480754,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/61yLZxYtnJL._SX679.jpg?v=1735563331
8387565256882,Fleece Jackets for Men,,2024-12-30T12:56:27Z,45019574763698,44,4,2024-12-30T12:56:29Z,2024-12-30T12:56:27Z,Short,Sleeve length type,Long,40444691480754,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/61yLZxYtnJL._SX679.jpg?v=1735563331
8387565256882,Fleece Jackets for Men,,2024-12-30T12:56:27Z,45019574796466,44,4,2024-12-30T12:56:29Z,2024-12-30T12:56:27Z,03-Apr,Sleeve length type,Long,40444691480754,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/61yLZxYtnJL._SX679.jpg?v=1735563331
8387564961970,Sweatshirt for Man,,2024-12-30T12:52:06Z,45019573813426,33,33,2024-12-30T12:52:07Z,2024-12-30T12:52:06Z,Default Title,Title,Default Title,40444689481906,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/61uKjXVDzPL._SX679.jpg?v=1735563089
8387563552946,TAGAS Women Sweatshirt,,2024-12-30T12:42:55Z,45019571388594,34,44,2024-12-30T12:42:56Z,2024-12-30T12:42:55Z,Green,Color,Green,40444678766770,https://cdn.shopify.com/s/files/1/0676/5759/7106/files/81nHKG0h2yL._SY741.jpg?v=1735562535
