Product_ID,Product_Title,Product_Type,Product_Published_At,Product_Variant_Id,Variant_Price,Variant_Inventory_Quantity,Variant_Created_At,Product_Created_At,Variant_Title,Option_Names,Option_Values,Image_Ids,Image_Sources
8756272201982,Cocktail Almond,gifts,2025-01-29T08:31:04Z,46214216220926,150,25,2025-01-29T08:31:05Z,2025-01-29T08:31:04Z,Default Title,Title,Default Title,43778818736382,https://cdn.shopify.com/s/files/1/0675/2416/5886/files/CocktailAlmond-Giftana.jpg?v=1738139314
8756272005374,Masala Cranberry,gifts,2025-01-29T08:27:56Z,46214215958782,100,25,2025-01-29T08:27:57Z,2025-01-29T08:27:56Z,Default Title,Title,Default Title,43778815492350,https://cdn.shopify.com/s/files/1/0675/2416/5886/files/MasalaCranberry-giftana.jpg?v=1738139204
8756271874302,Chatpata Raisins,gifts,2025-01-29T08:25:37Z,46214212813054,100,25,2025-01-29T08:25:39Z,2025-01-29T08:25:37Z,Default Title,Title,Default Title,43778802254078,https://cdn.shopify.com/s/files/1/0675/2416/5886/files/ChatpataRaisins-Giftana.jpg?v=1738138955
8756271546622,Piri Piri Trail Mix,gifts,2025-01-29T08:21:46Z,46214209175806,150,25,2025-01-29T08:21:47Z,2025-01-29T08:21:46Z,Default Title,Title,Default Title,43778797273342,https://cdn.shopify.com/s/files/1/0675/2416/5886/files/PiriPiriTrailMix.jpg?v=1738138831
8756271153406,Lime & Spicy Cashew,gifts,2025-01-29T08:14:05Z,46214207144190,150,25,2025-01-29T08:14:06Z,2025-01-29T08:14:05Z,Default Title,Title,Default Title,43778785739006,https://cdn.shopify.com/s/files/1/0675/2416/5886/files/Lime_SpicyCashew-giftana.jpg?v=1738138347
8755601506558,"Stylish Eco - Friendly Products : Tan Diary, Clock, Mug & More",gifts,2025-01-27T12:49:59Z,46210677735678,2195,100,2025-01-27T12:50:02Z,2025-01-27T12:49:59Z,Default Title,Title,Default Title,43172465836286,https://cdn.shopify.com/s/files/1/0675/2416/5886/files/Diwali_Customized_Gift_Hampers-_Silver_Tan_02.jpg?v=1737369087
8755581583614,"Eco - Friendly Gifts for All : Sustainable Diary, Tea Cups, Clock & More",gifts,2025-01-27T12:09:01Z,46210629107966,2195,100,2025-01-27T12:09:04Z,2025-01-27T12:09:01Z,Default Title,Title,Default Title,43768280088830,https://cdn.shopify.com/s/files/1/0675/2416/5886/files/913VzbL_w8L._SX569.jpg?v=1737979025
8755523354878,"Eco - Friendly Products Gift Hamper : Personalized Diary, Mug, Clock & More - Black",gifts,2025-01-27T11:25:04Z,46210489483518,2195,100,2025-01-27T11:25:07Z,2025-01-27T11:25:04Z,Default Title,Title,Default Title,43767787159806,https://cdn.shopify.com/s/files/1/0675/2416/5886/files/tea-cup-mug.jpg?v=1737974762
8755499532542,"Unique Eco-Friendly Gifts : Sustainable Diary, Tea Cups, Clock & More",gifts,2025-01-27T08:48:57Z,46210383249662,2195,100,2025-01-27T08:49:00Z,2025-01-27T08:48:57Z,Default Title,Title,Default Title,43767307895038,https://cdn.shopify.com/s/files/1/0675/2416/5886/files/cup-mug-coffie.jpg?v=1737965523
8755333234942,"Celebrate Love with Valentine’s Gift Set : Tumbler, Loyka Delights & Card",gifts,2025-01-27T05:20:41Z,46210043379966,899,50,2025-01-27T05:20:44Z,2025-01-27T05:20:41Z,Black,color,Black,43754286219518,https://cdn.shopify.com/s/files/1/0675/2416/5886/files/14_2bdbbd46-a756-4922-8a36-5d8964b3d833.jpg?v=1737957433
